"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jun 26"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,180913,207713,880093,278604,451690,712312,504150,856054,297177,156263,225035,141273,2678448,2212829
DII,42546,23569,21130,945032,24399,80487,0,0,0,0,1848,0,168562,970449
FII,162914,142162,846665,569332,201290,347380,66154,133964,15455,18567,20429,13866,1592271,945907
Pro,28082,41011,172710,127630,123797,155494,230872,305655,76879,60313,142199,80004,617275,927371
TOTAL,414455,414455,1920598,1920598,801176,1295673,801176,1295673,389511,235143,389511,235143,5056556,5056556
