"""""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jun 08","2020""""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,114068,136441,430015,223009,625391,750499,612154,795527,244590,178032,195718,144243,2342595,2107092
DII,33449,14390,59170,901575,4584,70808,0,0,13,0,1672,0,168024,917637
FII,63469,59088,1063446,450362,216704,226696,148409,158822,17890,18418,22610,21713,1606623,861004
Pro,27124,28191,125405,103090,205019,182307,291135,275961,104867,82084,147360,112578,726806,958315
TOTAL,238110,238110,1678036,1678036,1051698,1230310,1051698,1230310,367360,278534,367360,278534,4844048,4844048
