"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on February 21"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,134258,138716,811482,264149,380753,461209,484437,699407,332559,189498,261391,159411,2309759,2007511
DII,45747,24840,30068,973253,24397,91045,0,0,688,0,606,0,191945,998699
FII,188969,201267,958424,582399,232387,360108,82055,161778,51516,47891,44225,47476,1839295,1119200
Pro,23106,27257,184005,164178,117303,132996,188348,184173,68832,59689,147373,90191,585931,801520
TOTAL,392080,392080,1983979,1983979,754840,1045358,754840,1045358,453595,297078,453595,297078,4926930,4926930
