"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jun 18"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,148047,190658,909525,267550,721133,413099,664216,678619,351458,130589,251647,133320,2673851,2186010
DII,43248,21071,15262,944641,24397,80605,0,0,0,0,1848,0,163512,967560
FII,154839,106303,830561,612406,197028,368569,82430,117924,18911,19368,24504,16124,1589276,959691
Pro,18324,46426,168468,99219,132003,137837,327915,203567,57914,57633,150284,58146,572179,885557
TOTAL,364458,364458,1923816,1923816,1074561,1000110,1074561,1000110,428283,207590,428283,207590,4998818,4998818
