"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on March 19"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,207682,270413,857062,335800,467792,920582,602956,873388,280849,190597,236480,157285,2924564,2476322
DII,38629,41697,28059,886317,31258,94378,0,0,0,0,0,0,192324,928014
FII,220469,127477,885656,570627,301847,331574,112356,283540,40907,37045,35977,33938,1817498,1163915
Pro,29020,56213,166205,144238,165376,159698,250961,349304,75517,50200,124816,86619,646016,1012151
TOTAL,495800,495800,1936982,1936982,966273,1506232,966273,1506232,397273,277842,397273,277842,5580402,5580402
