"""""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Aug 28","2019""""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,187788,152445,788519,225598,781713,591102,678211,764587,331677,155309,233254,150969,2836108,2205064
DII,80658,7327,26095,1014005,23661,80292,0,0,0,0,712,0,210706,1022044
FII,115902,242436,984643,635099,267130,363686,157462,166466,28334,15946,24736,12682,1775641,1238881
Pro,41280,23420,199832,124387,143928,164815,380759,268842,76595,80785,177904,88389,707235,1063701
TOTAL,425628,425628,1999089,1999089,1216432,1199895,1216432,1199895,436606,252040,436606,252040,5529690,5529690
