"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on May 20"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,137644,164751,849958,232575,384651,425504,403985,558851,269479,133904,235814,134172,2201140,1730148
DII,44523,42625,21728,954562,31233,83388,0,0,0,0,1973,0,180872,999160
FII,141847,110354,899125,616821,201923,288470,162595,173792,41238,31319,39491,30909,1603922,1133962
Pro,28892,35176,166328,133181,152260,139904,203487,204623,68259,60088,101698,60230,615731,738395
TOTAL,352906,352906,1937139,1937139,770067,937266,770067,937266,378976,225311,378976,225311,4601665,4601665
