"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Apr 08"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,121585,153179,774382,259502,556706,495815,605062,659163,285468,100704,206831,123435,2334660,2007172
DII,33041,63227,21745,890396,32385,97087,0,0,0,0,1010,0,184258,954633
FII,156020,72384,857631,539896,236233,316493,92192,215795,29954,22681,32241,18619,1619012,971127
Pro,20304,42160,157738,121702,152691,168187,280761,202624,49182,58929,124522,40260,607031,812029
TOTAL,330950,330950,1811496,1811496,978015,1077582,978015,1077582,364604,182314,364604,182314,4744961,4744961
