"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on May 28"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,187099,195930,943565,309108,570480,634051,537248,770358,332977,172536,267104,153813,2840708,2233561
DII,51293,37989,34092,951677,28770,83718,0,0,0,0,2292,0,197873,991958
FII,174881,181733,880713,635881,207573,351672,138089,180564,35137,32978,37114,29932,1682954,1203313
Pro,38107,35728,184716,146420,120922,128924,252408,247443,77592,64275,139196,86044,614536,907239
TOTAL,451380,451380,2043086,2043086,927745,1198365,927745,1198365,445706,269789,445706,269789,5336071,5336071
