"""""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jun 19","2020""""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,132132,143892,470365,233161,492345,766293,512995,823416,324541,225905,252273,178817,2411581,2144554
DII,23856,20023,61839,914709,4584,79653,0,0,117,144,4967,0,170193,939699
FII,70540,55465,1081723,490772,218373,244948,169127,185418,24327,25967,27605,28509,1665878,956896
Pro,26689,33837,160005,135290,184710,182256,217890,264316,118209,100968,182349,145658,772837,979340
TOTAL,253217,253217,1773932,1773932,900012,1273150,900012,1273150,467194,352984,467194,352984,5020489,5020489
