"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on February 27"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,134371,118642,762701,225382,534670,555801,603408,786332,301788,181521,237846,155381,2470852,2126991
DII,34530,15523,24887,955562,25397,106052,0,0,688,0,605,0,191554,971690
FII,196965,210033,972709,604154,242414,375674,80849,184314,49797,48610,43709,50542,1886169,1173601
Pro,19378,41046,174422,149621,158811,183014,277035,249895,74484,65831,144597,90039,675940,952233
TOTAL,385244,385244,1934719,1934719,961292,1220541,961292,1220541,426757,295962,426757,295962,5224515,5224515
