"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 12","2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,181984,149018,784872,213020,419336,353850,429448,607934,251916,146429,194448,135524,2138387,1729392
DII,65131,8429,20893,1038739,20401,98359,0,0,0,0,1152,0,204784,1048320
FII,48211,153307,938221,554454,193712,301397,122460,112569,20310,16495,21594,14864,1518346,979248
Pro,36600,21172,157458,95231,116758,135057,198299,168160,55772,62260,110804,74796,563905,668462
TOTAL,331926,331926,1901444,1901444,750207,888663,750207,888663,327998,225184,327998,225184,4425422,4425422
