"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on May 14"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,132166,140407,859149,217041,560253,523785,533411,704228,250982,105391,215647,128548,2431726,1939282
DII,29703,42583,15971,959840,32417,87719,0,0,0,0,1973,0,165810,1004396
FII,131490,102519,870715,615480,214627,314643,156747,149200,33083,30957,32140,25183,1595515,1081269
Pro,23716,31566,160192,113666,155097,145565,272236,218284,60564,65334,94869,47951,610468,778572
TOTAL,317075,317075,1906027,1906027,962394,1071712,962394,1071712,344629,201682,344629,201682,4803519,4803519
