"""""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jun 23","2020""""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,134064,134888,457242,222885,556370,966771,562295,950546,306992,220499,237116,179263,2641938,2286993
DII,19562,20353,63327,874924,4584,79339,0,0,23,0,4951,0,166835,900228
FII,76547,62026,1020756,451792,229025,255311,175188,208696,20546,22515,23329,20687,1624700,941718
Pro,26940,39846,161093,152817,201679,204182,254175,346361,124620,102675,186785,145739,821189,1125723
TOTAL,257113,257113,1702418,1702418,991658,1505603,991658,1505603,452181,345689,452181,345689,5254662,5254662
