"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on February 14"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,136657,137796,806536,249168,409535,396672,489100,663129,309792,163072,240861,149862,2222264,1929916
DII,36298,29835,32713,966758,24474,104227,0,0,688,0,605,0,198400,997198
FII,185282,192743,937892,581410,226905,365836,78628,163752,45853,43528,40204,40615,1805296,1097352
Pro,27415,25278,162151,141956,109545,145499,202731,185353,59515,57768,134178,73891,561893,763387
TOTAL,385652,385652,1939292,1939292,770459,1012234,770459,1012234,415848,264368,415848,264368,4787853,4787853
