"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jun 14"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,155994,189850,895759,271492,570839,361944,568142,617650,323255,126619,236058,129797,2434410,2012989
DII,42925,29948,13802,934527,24397,80166,0,0,0,0,1848,0,161290,966323
FII,146442,102186,827032,600530,181513,324618,69184,113998,19592,20393,23247,17446,1519590,926591
Pro,19078,42455,156692,86736,119734,132233,259157,167313,52696,54525,134390,54294,534958,744345
TOTAL,364439,364439,1893285,1893285,896483,898961,896483,898961,395543,201537,395543,201537,4650248,4650248
