"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jun 25"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,183219,205671,903968,291490,467533,601336,523528,775338,318925,160539,237217,144948,2635520,2178192
DII,44079,26233,20438,945499,24397,80485,0,0,0,0,1848,0,169399,973580
FII,167762,136275,837812,582243,209082,355524,73494,136699,16911,19243,22477,15858,1606334,967046
Pro,20238,47119,183408,126394,117828,135043,221818,260351,75844,60792,150138,79768,593153,885588
TOTAL,415298,415298,1945626,1945626,818840,1172388,818840,1172388,411680,240574,411680,240574,5004406,5004406
