"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on February 06"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,148732,137679,759050,244363,469221,700537,584224,809394,209576,126941,176785,116207,2414057,2068652
DII,45345,43644,19186,959094,24459,95262,0,0,688,12,530,0,184952,1003268
FII,176051,165161,927235,538645,213747,330760,74993,180331,25392,30230,22114,30380,1703415,1011624
Pro,22525,46169,142599,105968,165040,151335,213250,288169,56309,47281,92536,57877,585089,803969
TOTAL,392653,392653,1848070,1848070,872467,1277894,872467,1277894,291965,204464,291965,204464,4887513,4887513
