"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on March 13"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,191444,201507,780692,317833,369059,962177,568327,902238,236591,159830,203449,135797,2699793,2329151
DII,34228,34469,26010,889389,33457,88457,0,0,0,0,0,0,182152,923858
FII,168780,118540,894857,518195,294857,320713,88629,268776,33905,32139,27839,30568,1745251,1052547
Pro,23132,63068,154025,130167,189108,162098,229525,362431,65615,43399,104823,69003,637377,959017
TOTAL,417584,417584,1855584,1855584,886481,1533445,886481,1533445,336111,235368,336111,235368,5264573,5264573
