"""""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jun 22","2020""""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,124620,132103,461434,217661,578726,867277,567071,898336,323123,224056,246749,180866,2579236,2242786
DII,21158,20495,61366,893601,4584,79339,0,0,132,130,5182,0,166709,919278
FII,74527,56892,1061774,491247,225966,254358,179934,195258,22112,24709,25603,24545,1663446,973479
Pro,29845,40660,166870,148935,184692,206163,246963,313543,118307,101037,186140,144521,806914,1080762
TOTAL,250150,250150,1751444,1751444,993968,1407137,993968,1407137,463674,349932,463674,349932,5216305,5216305
