"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on February 15"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,135291,131849,798829,243624,517617,439366,564521,718154,328460,153936,251819,148316,2373499,2058283
DII,48613,30395,28296,965238,24474,101999,0,0,688,0,605,0,204070,996238
FII,185931,206608,936967,579277,223151,380470,86021,173834,51138,45498,40455,41039,1823155,1127234
Pro,26417,27400,166467,142420,116864,161082,231564,190929,57052,61951,144459,72030,589833,808802
TOTAL,396252,396252,1930559,1930559,882106,1082917,882106,1082917,437338,261385,437338,261385,4990557,4990557
