"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on February 07"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,143633,143275,756770,245423,318148,522181,470802,666174,222303,137063,188306,123324,2100098,1837304
DII,44123,45334,21120,962984,24459,102720,0,0,688,12,563,0,193122,1008881
FII,183550,160349,931783,533919,208085,318433,57014,179004,29358,33027,24616,32852,1704236,987754
Pro,24866,47214,143631,110978,130201,126516,153077,224672,57700,47404,96564,61330,530318,693835
TOTAL,396172,396172,1853304,1853304,680893,1069850,680893,1069850,310049,217506,310049,217506,4527774,4527774
