"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on March 25"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,181508,254301,900580,337644,525304,629452,625839,736803,328147,172742,249219,154589,2737733,2358395
DII,37064,42449,33105,884812,28618,95060,0,0,0,0,0,0,193847,927261
FII,214158,109317,886229,633053,315258,404638,107036,284144,41666,37090,39075,33132,1899039,1205757
Pro,25290,51953,198200,162605,144620,146616,280925,254819,68222,56863,149741,78974,639811,979017
TOTAL,458020,458020,2018114,2018114,1013800,1275766,1013800,1275766,438035,266695,438035,266695,5470430,5470430
