"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on February 18"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,145380,140861,806108,251018,643335,445448,641886,732073,350056,159003,263686,152457,2549330,2181981
DII,47053,30143,28935,963563,25110,96999,0,0,688,0,605,0,198785,994311
FII,185892,212776,943426,585289,222721,387977,92959,179235,51963,45245,41449,41730,1837224,1153438
Pro,30963,25508,171590,150189,138873,171999,295194,191115,57031,64238,153998,74299,634694,890303
TOTAL,409288,409288,1950059,1950059,1030039,1102423,1030039,1102423,459738,268486,459738,268486,5220033,5220033
