"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on May 21"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,137362,148924,850713,228508,477025,444458,460797,617560,293327,133769,246445,139769,2336654,1842003
DII,44771,47135,20268,945557,34325,83388,0,0,0,0,1973,0,182752,994665
FII,143402,112842,891877,625788,205579,328178,192463,176818,41457,33437,43214,31622,1643930,1182747
Pro,22879,39513,166591,129596,170422,141985,234091,203631,66459,63998,109611,59813,632334,776255
TOTAL,348414,348414,1929449,1929449,887351,998009,887351,998009,401243,231204,401243,231204,4795670,4795670
