"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jun 24"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,175681,208348,917279,295703,538893,466837,567386,695775,345430,158896,251138,148322,2603016,2166672
DII,40875,23331,20072,945359,24397,80485,0,0,0,0,1848,0,165829,970538
FII,173527,127154,847431,609329,205400,360283,74522,137216,17487,20128,23753,15963,1624256,987937
Pro,15973,47223,195308,129699,117691,135638,244473,210252,72441,60525,158619,75264,597576,865530
TOTAL,406056,406056,1980090,1980090,886381,1043243,886381,1043243,435358,239549,435358,239549,4990677,4990677
