"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jun 21"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,173523,202195,922418,291580,452339,420541,512768,661443,342374,161564,252634,149522,2472759,2070142
DII,40895,26311,19342,949614,24397,80485,0,0,0,0,1848,0,165119,977773
FII,166974,124333,841644,605251,200487,356457,70401,131423,19432,20940,24048,17356,1605934,972812
Pro,15211,43764,186563,123522,120553,127292,214607,191909,70665,58465,153941,74091,578749,801834
TOTAL,396603,396603,1969967,1969967,797776,984775,797776,984775,432471,240969,432471,240969,4822561,4822561
