"""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Apr 11"," 2019""",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
Client,122325,141071,795960,248406,376613,428803,478505,599745,325507,119269,238283,136922,2168477,1842932
DII,33011,65790,18241,903022,32387,97157,0,0,0,0,2021,0,180796,970833
FII,145342,81192,836155,542525,235587,319053,77485,219106,32964,24557,34452,21256,1593658,976016
Pro,22147,34772,166086,122489,118464,133128,207061,159290,53290,63258,137005,48906,556373,709523
TOTAL,322825,322825,1816442,1816442,763051,978141,763051,978141,411761,207084,411761,207084,4499304,4499304
